,Influencer,Depth 0,Depth 1,Depth 2,Depth 3,Depth 4,Depth 5,Depth 6,Depth 7,Depth 8,Depth 9,Depth 10,Total
170,Charlie Christian,1,36,529,3153,4533,4746,4791,4795,4797,4797,4797,1124.796875
337,The Platters,1,38,695,3129,4114,4370,4523,4596,4619,4630,4631,1119.271484375
1436,The Shirelles,1,20,840,3113,3868,4128,4286,4458,4536,4568,4600,1116.296875
1089,Lester Young,1,52,569,2753,4657,4848,4874,4876,4877,4877,4877,1106.2890625
105,Frank Sinatra,1,72,740,2791,4070,4361,4492,4568,4617,4630,4631,1101.529296875
1595,Wynonie Harris,1,24,527,3120,4365,4562,4673,4703,4708,4708,4708,1094.6640625
1662,Johnny Kidd & the Pirates,1,12,878,2955,3774,4073,4264,4438,4531,4567,4599,1093.9296875
1133,The Marvelettes,1,14,794,3068,3795,4074,4266,4441,4531,4567,4599,1089.453125
129,Little Walter,1,21,687,3007,4060,4334,4480,4565,4598,4619,4632,1088.005859375
481,David Bowie,1,239,1416,2258,2491,2680,2858,2980,3137,3361,3582,1087.939453125
295,Ella Fitzgerald,1,76,606,2725,4268,4495,4564,4623,4650,4653,4653,1080.11328125
67,The Velvet Underground,1,182,1388,2302,2648,2879,3034,3163,3329,3527,3691,1079.4375
297,Charlie Parker,1,96,604,2656,4230,4500,4569,4590,4613,4624,4630,1078.34375
1216,Bobby Womack,1,24,712,2945,3952,4217,4433,4528,4566,4598,4623,1076.392578125
1099,Smokey Robinson & the Miracles,1,16,740,3010,3840,4116,4290,4459,4536,4568,4599,1074.365234375
122,Cream,1,92,838,2515,3723,4177,4413,4525,4566,4598,4623,1072.244140625
516,Buddy Guy,1,41,627,2891,4069,4349,4502,4586,4610,4622,4631,1070.095703125
330,The Impressions,1,31,558,2996,4088,4327,4496,4578,4605,4619,4630,1061.287109375
2512,Ritchie Valens,1,20,745,2907,3780,4094,4273,4440,4531,4567,4599,1059.8671875
1334,Lefty Frizzell,1,37,702,2689,3995,4397,4535,4613,4639,4649,4650,1059.400390625
379,Etta James,1,38,653,2870,3908,4164,4343,4471,4549,4589,4613,1052.90625
1100,Larry Williams,1,7,669,2960,3885,4139,4302,4468,4541,4569,4600,1049.677734375
880,Bob Wills,1,41,602,2673,4156,4488,4601,4660,4678,4680,4680,1048.9765625
452,Thelonious Monk,1,52,566,2615,4208,4488,4579,4606,4628,4639,4645,1040.3671875
1478,Barrett Strong,1,7,671,2922,3783,4075,4264,4440,4532,4568,4600,1036.203125
865,B.B. King,1,55,526,2656,4154,4460,4561,4609,4624,4630,4631,1032.423828125
1373,Blind Boy Fuller,1,8,667,2734,3894,4298,4478,4580,4615,4632,4633,1031.060546875
169,Cab Calloway,1,28,396,2594,4634,4847,4880,4884,4884,4884,4884,1029.90625
675,Roy Acuff,1,51,602,2516,4056,4501,4631,4678,4715,4727,4732,1029.455078125
1603,The Coasters,1,23,455,2871,4182,4428,4548,4603,4627,4631,4631,1026.0625
522,Mose Allison,1,21,628,2694,3901,4242,4442,4537,4572,4602,4624,1020.35546875
1699,Roscoe Holcomb,1,15,561,2678,4055,4463,4584,4649,4667,4675,4676,1018.845703125
864,Slim Harpo,1,24,730,2641,3678,4086,4278,4451,4538,4568,4599,1018.435546875
1690,Slim Whitman,1,7,645,2848,3752,4069,4264,4442,4534,4570,4602,1018.359375
979,Don Covay,1,17,620,2792,3806,4145,4336,4480,4554,4590,4613,1017.419921875
49,Led Zeppelin,1,222,1175,2156,2552,2759,2933,3027,3170,3381,3583,1014.4296875
1702,Mississippi Sheiks,1,4,466,2632,4291,4642,4755,4819,4846,4857,4871,1009.625
108,Pink Floyd,1,143,1097,2228,2727,3034,3263,3576,4015,4287,4445,1000.16015625
1820,Sister Rosetta Tharpe,1,14,411,2555,4361,4712,4814,4859,4875,4876,4877,999.208984375
1267,The Ink Spots,1,22,337,2774,4241,4536,4676,4757,4792,4840,4864,995.7109375
307,Big Joe Williams,1,11,482,2540,4120,4571,4731,4794,4843,4865,4876,992.162109375
1044,Ramblin' Jack Elliott,1,30,556,2556,3852,4298,4477,4580,4616,4633,4634,989.427734375
101,Burt Bacharach,1,64,706,2552,3432,3779,4003,4190,4329,4461,4533,988.8515625
1102,The Temptations,1,56,644,2499,3606,4009,4250,4427,4527,4566,4599,987.607421875
275,Gram Parsons,1,51,742,2485,3444,3775,4042,4264,4432,4527,4567,985.38671875
1330,Dean Martin,1,27,433,2733,3985,4246,4426,4535,4599,4620,4631,984.744140625
1445,Doc Watson,1,24,532,2542,3905,4337,4495,4583,4613,4630,4631,983.490234375
1278,Big Mama Thornton,1,14,365,2760,4142,4400,4535,4621,4641,4643,4643,981.8515625
1352,Frankie Lymon,1,12,598,2587,3784,4091,4275,4435,4529,4566,4599,979.255859375
309,Lightnin' Hopkins,1,36,386,2584,4129,4459,4598,4673,4700,4702,4702,978.984375
111,Jefferson Airplane,1,26,569,2539,3782,4180,4410,4524,4566,4599,4623,978.72265625
736,Odetta,1,26,527,2535,3862,4299,4477,4580,4616,4633,4634,978.208984375
1916,Hank Ballard,1,10,336,2769,4183,4446,4568,4612,4630,4632,4632,978.0859375
450,Erskine Hawkins,1,8,394,2480,4404,4621,4673,4693,4701,4705,4705,977.578125
952,Dave Van Ronk,1,23,545,2508,3848,4292,4474,4577,4613,4630,4631,976.646484375
1698,Ewan MacColl,1,29,514,2527,3858,4312,4485,4586,4622,4639,4640,975.833984375
868,"Bobby ""Blue"" Bland",1,22,466,2519,4079,4378,4502,4591,4622,4630,4631,975.478515625
550,John Mayall,1,29,681,2459,3512,3976,4230,4431,4531,4567,4599,971.1875
1700,Elizabeth Cotten,1,17,508,2493,3925,4362,4513,4602,4632,4649,4650,970.474609375
1441,J.B. Lenoir,1,13,518,2581,3837,4216,4390,4522,4590,4613,4625,969.08203125
1189,The Moonglows,1,19,437,2593,3995,4295,4463,4574,4608,4622,4632,967.32421875
994,Alan Lomax,1,11,450,2506,3932,4365,4509,4597,4629,4646,4647,955.005859375
424,Jacques Brel,1,26,502,2447,3832,4218,4411,4523,4578,4619,4630,954.892578125
1155,Roy Hamilton,1,4,346,2683,4058,4348,4496,4586,4612,4621,4631,954.5390625
1199,Jean Ritchie,1,15,463,2473,3916,4349,4499,4589,4621,4638,4639,954.349609375
146,Jimmy Cliff,1,36,633,2525,3426,3774,4036,4244,4430,4527,4567,954.22265625
1696,Billy Lee Riley,1,10,482,2466,3858,4307,4477,4579,4614,4631,4632,950.310546875
1442,Otis Rush,1,27,607,2438,3528,3980,4235,4434,4532,4567,4599,950.29296875
627,Wilson Pickett,1,39,603,2542,3423,3778,4020,4216,4356,4475,4552,949.396484375
2828,Esquerita,1,4,284,2655,4154,4436,4575,4617,4631,4641,4642,945.900390625
1475,Johnny Burnette,1,13,530,2539,3596,4028,4275,4412,4538,4598,4615,942.986328125
1760,Ernest Tubb,1,53,495,2127,3891,4447,4593,4652,4695,4709,4714,942.134765625
455,Amos Milburn,1,13,279,2506,4207,4516,4639,4696,4713,4714,4714,938.55859375
1253,The Clovers,1,16,313,2544,4043,4340,4518,4598,4623,4634,4634,934.23828125
198,Stevie Wonder,1,139,823,1996,2883,3405,3708,3922,4139,4296,4453,932.177734375
60,The Stooges,1,116,1143,2062,2437,2670,2856,2986,3147,3365,3583,930.06640625
1697,Cisco Houston,1,11,434,2383,3852,4324,4499,4599,4635,4652,4653,929.255859375
662,The Clancy Brothers,1,16,438,2362,3827,4298,4481,4584,4620,4637,4638,927.240234375
879,Slim Gaillard,1,17,273,2495,4127,4405,4554,4627,4652,4660,4660,926.8984375
770,The Ronettes,1,28,643,2481,3295,3577,3802,4058,4272,4434,4530,926.8984375
296,Sarah Vaughan,1,46,409,2262,3912,4272,4454,4552,4606,4624,4635,926.232421875
1387,Johnny Otis,1,11,295,2517,4044,4364,4521,4604,4631,4642,4643,924.833984375
2497,Little Jimmy Scott,1,19,483,2367,3726,4084,4286,4427,4550,4601,4612,922.947265625
774,Ruth Brown,1,23,390,2422,3874,4186,4363,4488,4558,4591,4613,922.703125
1990,Son House,1,23,360,2143,4112,4615,4761,4811,4847,4866,4876,919.53125
1701,John Jacob Niles,1,7,424,2361,3830,4300,4483,4586,4622,4639,4640,919.427734375
872,Ben E. King,1,21,451,2309,3798,4188,4351,4497,4578,4605,4619,918.140625
939,The Flying Burrito Brothers,1,38,588,2328,3322,3708,4008,4245,4431,4527,4567,910.359375
1333,Duane Eddy,1,21,533,2367,3455,3887,4121,4290,4450,4536,4568,909.1015625
723,Buffalo Springfield,1,38,502,2266,3514,3998,4246,4428,4527,4567,4599,907.8359375
1157,James Cleveland,1,18,371,2258,3956,4320,4486,4583,4624,4642,4644,907.34765625
361,Sex Pistols,1,154,1163,1866,2179,2492,2713,2980,3295,3562,3822,907.02734375
1803,Junior Parker,1,9,267,2396,4084,4421,4549,4622,4642,4644,4644,906.6171875
1252,The Flamingos,1,21,298,2393,3963,4295,4462,4577,4610,4624,4634,906.59765625
1695,Sonny Terry,1,4,394,2329,3820,4292,4475,4578,4614,4631,4632,905.302734375
1185,Fred Neil,1,38,505,2170,3574,4083,4299,4461,4534,4568,4600,904.109375
1431,Chet Atkins,1,43,442,2184,3655,4180,4414,4526,4597,4622,4635,903.427734375
2183,Johnny Jenkins,1,8,369,2331,3892,4240,4437,4530,4566,4598,4623,902.939453125
784,Dinah Washington,1,46,344,2197,3907,4294,4458,4578,4608,4620,4630,902.48828125
1076,The Staple Singers,1,17,445,2398,3564,3981,4239,4435,4528,4566,4599,902.126953125
201,Aretha Franklin,1,96,618,2022,3263,3631,3920,4152,4311,4462,4535,899.755859375
1307,Ornette Coleman,1,46,549,2130,3344,3970,4275,4415,4516,4565,4591,895.375
243,Frank Zappa,1,64,652,2128,2965,3660,4172,4411,4524,4566,4599,894.908203125
1991,Mississippi Fred McDowell,1,18,332,2039,4054,4605,4759,4814,4849,4868,4878,893.1015625
1493,Guitar Slim,1,15,283,2187,4129,4467,4578,4653,4683,4693,4693,892.7890625
751,Peter Tosh,1,36,485,2348,3395,3739,4011,4237,4429,4526,4567,891.615234375
546,Merle Haggard,1,101,487,1994,3376,3948,4216,4361,4486,4538,4568,890.12890625
434,Joni Mitchell,1,117,748,2083,2915,3109,3207,3353,3483,3712,4079,889.345703125
377,Irma Thomas,1,16,482,2402,3400,3738,4016,4242,4431,4527,4567,888.0234375
2201,Billy Strayhorn,1,11,328,2052,4148,4511,4579,4607,4625,4636,4637,886.935546875
298,Johnny Hartman,1,16,340,2108,3976,4399,4530,4612,4630,4631,4631,884.45703125
671,Red Foley,1,19,340,2191,3776,4263,4472,4571,4630,4648,4655,878.435546875
920,Art Blakey,1,37,298,1973,4084,4467,4580,4656,4684,4694,4694,878.0390625
1213,"Johnny ""Guitar"" Watson",1,13,374,2208,3693,4177,4416,4527,4568,4599,4624,876.568359375
514,Albert King,1,37,307,2079,3875,4344,4496,4590,4622,4630,4631,874.314453125
629,Booker T. Jones,1,16,291,2261,3846,4197,4416,4525,4566,4599,4623,874.10546875
1402,The Kingston Trio,1,22,493,2190,3387,3805,4123,4313,4462,4533,4567,870.9140625
834,The Hollies,1,46,518,2102,3307,3726,4044,4268,4433,4530,4567,868.990234375
778,Al Green,1,79,719,2078,2723,3078,3569,4077,4302,4456,4547,866.380859375
1992,Hubert Sumlin,1,13,313,2170,3792,4217,4433,4529,4567,4599,4624,864.283203125
2728,Harry James,1,11,265,1937,4211,4575,4624,4638,4639,4639,4639,863.7578125
1938,Freddie King,1,19,298,2112,3832,4289,4465,4562,4596,4617,4630,861.951171875
1158,Johnny Ace,1,13,368,2004,3774,4302,4465,4561,4607,4623,4630,859.779296875
1354,Davy Graham,1,27,576,2164,3108,3509,3837,4118,4289,4445,4531,857.31640625
940,Bert Jansch,1,27,563,2093,3217,3609,3873,4134,4291,4454,4536,855.8515625
1009,Parliament,1,49,445,1897,3433,4142,4401,4518,4565,4598,4623,855.779296875
333,The Dells,1,18,245,2151,3866,4272,4455,4574,4609,4623,4633,854.67578125
1473,The Louvin Brothers,1,29,424,1955,3505,4113,4412,4531,4603,4630,4646,851.90234375
334,Gene Chandler,1,11,252,2121,3837,4252,4438,4564,4603,4619,4630,846.357421875
158,Screamin' Jay Hawkins,1,22,336,2096,3570,4113,4330,4479,4554,4591,4613,846.0703125
604,George Jones,1,78,492,1759,3260,3982,4254,4447,4536,4569,4600,845.900390625
1192,The Cadillacs,1,10,337,2194,3592,3958,4196,4341,4482,4547,4575,845.48828125
156,Link Wray,1,23,382,2090,3469,3995,4223,4426,4528,4566,4599,845.056640625
250,Charles Aznavour,1,20,407,2016,3469,4068,4308,4444,4544,4584,4621,844.447265625
1204,Phil Ochs,1,21,459,2080,3263,3859,4169,4342,4476,4549,4590,843.177734375
876,O.V. Wright,1,13,405,2236,3338,3703,4022,4252,4432,4529,4567,841.734375
482,Brian Eno,1,136,895,1880,2346,2535,2724,2892,3011,3167,3385,841.30859375
1417,Junior Wells,1,10,387,2212,3396,3794,4103,4294,4456,4538,4569,840.912109375
195,Nina Simone,1,53,485,1904,3280,3746,3994,4202,4343,4477,4538,836.619140625
513,Albert Collins,1,16,265,2056,3753,4198,4423,4528,4568,4598,4623,836.337890625
605,Paul Simon,1,51,431,1928,3391,3800,4070,4265,4444,4532,4568,835.984375
1101,Sam & Dave,1,26,460,2196,3091,3561,3920,4163,4333,4468,4549,834.279296875
471,Van Morrison,1,64,654,2056,2780,3070,3278,3569,4007,4287,4447,833.0
97,Simon & Garfunkel,1,47,505,1910,3122,3733,4078,4272,4438,4530,4567,831.478515625
1755,Ian & Sylvia,1,19,491,1994,3239,3720,4025,4259,4431,4527,4567,830.421875
1002,Kraftwerk,1,109,814,1930,2496,2682,2807,2934,3035,3188,3404,829.57421875
881,Merle Travis,1,15,247,2062,3676,4236,4454,4556,4622,4644,4654,829.52734375
2064,Sun Ra,1,33,581,2104,2908,3250,3652,3985,4193,4335,4465,828.82421875
367,Ike & Tina Turner,1,20,294,1954,3691,4198,4417,4521,4565,4598,4623,828.802734375
2031,Jay McShann,1,7,209,1862,4074,4492,4609,4650,4677,4695,4703,827.46875
1212,Earl Hooker,1,6,241,2010,3809,4289,4466,4563,4597,4617,4631,827.04296875
336,Brook Benton,1,11,313,2054,3639,3989,4186,4322,4471,4539,4569,826.01953125
1484,Joan Baez,1,36,392,1978,3309,3880,4199,4414,4524,4566,4599,825.978515625
1187,Dion,1,18,455,2079,3257,3628,3877,4136,4295,4456,4539,825.798828125
520,Stan Kenton,1,25,248,1822,3908,4380,4538,4621,4644,4657,4667,825.734375
1859,Roy Eldridge,1,18,279,1589,4084,4669,4725,4739,4750,4761,4762,825.537109375
1893,Gene Pitney,1,13,214,2127,3743,4094,4337,4489,4579,4613,4630,825.525390625
712,Love,1,34,610,2102,2835,3135,3449,3756,4002,4204,4345,821.970703125
241,The Doors,1,75,820,1960,2437,2711,2960,3132,3295,3502,3717,821.220703125
1131,Lena Horne,1,23,284,1821,3763,4264,4437,4540,4606,4622,4630,818.421875
2474,George Russell,1,11,268,1763,3884,4417,4530,4573,4609,4624,4630,815.2421875
746,James Cotton,1,10,356,1948,3436,4016,4258,4438,4534,4567,4599,813.56640625
2208,The Highway Q.C.'s,1,4,184,1880,3977,4413,4543,4601,4627,4633,4634,811.572265625
1477,The Stanley Brothers,1,28,327,1858,3481,4071,4369,4511,4590,4619,4636,811.294921875
81,Ray Price,1,31,363,1790,3446,4075,4347,4482,4581,4612,4625,810.591796875
256,Bud Powell,1,39,257,1697,3768,4352,4498,4579,4620,4636,4643,808.599609375
1451,Otis Spann,1,13,301,1872,3589,4148,4373,4514,4592,4614,4626,808.265625
1279,LaVern Baker,1,12,292,2000,3561,3940,4174,4328,4468,4537,4568,807.955078125
718,Moby Grape,1,15,537,1861,3024,3662,4011,4247,4428,4527,4567,807.72265625
1375,Sonny Boy Williamson I,1,9,162,1771,3977,4556,4728,4794,4844,4868,4879,805.599609375
677,T. Rex,1,72,840,1942,2332,2571,2774,2919,3090,3334,3574,805.5546875
55,Neil Young,1,149,896,1715,2104,2291,2504,2819,3198,3538,3818,802.9765625
512,Professor Longhair,1,19,211,1853,3719,4289,4506,4623,4690,4709,4710,802.583984375
740,The Zombies,1,56,406,1833,3142,3588,3870,4129,4288,4453,4536,793.158203125
246,The Pretty Things,1,20,517,2031,2769,3278,3699,4016,4251,4430,4529,790.900390625
1533,Marlene Dietrich,1,15,384,1962,3071,3683,4095,4312,4447,4547,4587,787.6640625
853,The Fugs,1,25,656,1997,2591,2899,3229,3446,3712,4079,4301,785.8984375
679,The Clash,1,137,897,1670,1972,2284,2541,2818,3197,3538,3818,783.69921875
555,The Animals,1,40,535,2034,2828,3063,3195,3273,3398,3598,3764,782.61328125
1498,Gil Evans,1,37,333,1570,3480,4126,4364,4489,4542,4575,4610,782.376953125
2270,Joe Liggins,1,5,193,1654,3861,4412,4601,4688,4710,4715,4715,781.01953125
594,Tom Paxton,1,25,400,1778,3147,3715,4025,4253,4429,4527,4567,777.7109375
670,The Maddox Brothers & Rose,1,16,236,1732,3557,4199,4451,4571,4631,4650,4657,777.556640625
754,"Lee ""Scratch"" Perry",1,49,468,1762,2919,3481,3797,4044,4247,4431,4527,776.9765625
564,Illinois Jacquet,1,12,167,1625,3936,4391,4524,4574,4595,4618,4629,775.525390625
1103,Roy Rogers,1,19,211,1650,3699,4278,4469,4580,4639,4658,4665,774.314453125
2917,Lonnie Mack,1,5,210,1783,3600,4170,4414,4526,4566,4598,4623,772.361328125
476,Chic,1,38,677,2012,2533,2665,2773,2914,3006,3149,3369,770.91015625
1129,Anita O'Day,1,18,218,1599,3702,4316,4491,4577,4624,4635,4636,770.724609375
485,Roxy Music,1,104,851,1744,2108,2294,2436,2638,2792,3005,3304,767.087890625
1285,Billy Fury,1,12,372,1880,2988,3675,4049,4246,4439,4530,4567,766.138671875
1961,Clark Terry,1,9,210,1564,3745,4385,4525,4568,4600,4625,4632,765.033203125
722,New York Dolls,1,60,770,1849,2268,2531,2748,2905,3080,3329,3574,764.615234375
288,Elton John,1,77,700,1879,2408,2537,2645,2773,2907,2983,3123,763.4296875
1091,Jimmy Rogers,1,7,151,1705,3708,4232,4417,4549,4605,4618,4625,757.970703125
1448,Bukka White,1,9,170,1527,3791,4444,4579,4654,4672,4674,4674,757.1015625
2350,Webb Pierce,1,21,302,1537,3395,4076,4388,4522,4601,4628,4641,756.654296875
833,The Lovin' Spoonful,1,22,334,1701,3101,3847,4209,4420,4525,4567,4599,756.03125
562,Don Byas,1,16,224,1462,3707,4360,4515,4569,4590,4613,4624,755.900390625
96,Spike Jones,1,21,232,1526,3573,4243,4429,4557,4627,4652,4660,755.22265625
50,MC5,1,65,771,1783,2203,2494,2743,2911,3087,3332,3575,753.900390625
2402,Bobby Hackett,1,4,196,1390,3827,4569,4673,4702,4719,4730,4741,752.400390625
58,Ramones,1,128,805,1624,2008,2311,2557,2753,2988,3295,3562,751.494140625
301,Stan Getz,1,19,217,1471,3658,4315,4449,4548,4607,4624,4630,751.2109375
1420,The Spinners,1,20,506,1989,2770,2937,3035,3161,3434,3644,3857,749.212890625
1408,The Chantels,1,13,181,1798,3477,3908,4146,4299,4467,4540,4572,748.55078125
2261,Champion Jack Dupree,1,7,105,1633,3760,4357,4537,4635,4694,4708,4709,747.861328125
354,Chubby Checker,1,8,328,1875,3097,3499,3783,4059,4273,4434,4530,747.30078125
3043,Bobby Day,1,3,178,1673,3603,4089,4337,4490,4580,4614,4631,745.884765625
2349,Don Gibson,1,8,286,1724,3195,3813,4115,4299,4457,4537,4568,741.919921875
1682,Ahmad Jamal,1,20,227,1356,3632,4374,4516,4565,4598,4623,4630,741.197265625
786,Quincy Jones,1,32,306,1414,3350,4034,4240,4434,4528,4566,4598,740.1640625
1449,Burl Ives,1,22,241,1523,3395,4071,4365,4515,4601,4637,4654,739.626953125
538,Little Anthony & the Imperials,1,12,224,1719,3376,3827,4088,4273,4446,4532,4568,738.8671875
65,Black Sabbath,1,172,767,1463,1930,2275,2573,2762,3006,3311,3574,738.314453125
991,Charles Mingus,1,27,301,1671,3119,3633,3949,4170,4324,4465,4532,733.837890625
107,John Cage,1,35,422,1721,2650,3218,3829,4219,4432,4533,4573,731.19921875
819,Neil Sedaka,1,16,222,1668,3346,3795,4070,4265,4444,4532,4568,730.765625
1115,Tim Hardin,1,32,352,1564,2993,3618,4018,4259,4380,4505,4580,729.533203125
290,Harold Arlen,1,9,197,1330,3675,4362,4506,4572,4626,4653,4656,727.376953125
1184,Fela Kuti,1,24,339,1576,2997,3735,3996,4201,4333,4471,4538,726.560546875
1371,Sonny Stitt,1,16,190,1430,3507,4192,4386,4500,4563,4590,4613,722.923828125
739,The Move,1,26,469,1825,2640,2958,3223,3407,3684,4072,4301,722.533203125
20,Captain Beefheart,1,35,419,1531,2603,3574,4157,4406,4524,4566,4599,721.947265625
1563,Roy Harper,1,13,454,1856,2718,2950,3142,3358,3613,4031,4293,718.76171875
769,The Shangri-Las,1,33,489,1864,2642,2819,2924,3030,3104,3231,3424,718.451171875
1340,Iggy Pop,1,51,747,1747,2070,2264,2531,2744,2993,3297,3562,715.822265625
248,Ã‰dith Piaf,1,35,310,1429,2914,3935,4290,4436,4531,4580,4621,715.076171875
1861,John Lewis,1,15,152,1458,3543,4131,4315,4423,4534,4602,4618,714.9765625
738,Small Faces,1,31,528,1824,2572,2760,2850,2974,3055,3190,3388,714.046875
